time	bit_rate	buffer_occupancies	rebuffer_times	video_chunk_size	video_chunk_fetch_time	linear_reward	log_reward	hd_reward
1698701165.3564095	750	4	1.861	450283	1784	-8.0023	-inf	-14.888
1698701166.1967545	300	7.202276	0.0	155580	605	-0.15000000000000002	-0.9162907318741551	0.0
1698701166.9051442	300	10.486957	0.0	139857	558	0.3	0.0	1.0
1698701167.666735	300	13.737852999999998	0.0	155432	603	0.3	0.0	1.0
1698701170.4885943	1200	14.904175999999998	0.0	652874	2588	0.29999999999999993	0.0	1.0
1698701172.7171042	1200	16.679664	0.0	520315	2067	1.2	1.3862943611198906	3.0
1698701175.0984633	1200	18.298710999999997	0.0	561791	2218	1.2	1.3862943611198906	3.0
1698701178.058303	1200	19.338433	0.0	709534	2800	1.2	1.3862943611198906	3.0
1698701180.5363245	1200	20.86121	0.0	584846	2324	1.2	1.3862943611198906	3.0
1698701182.9168932	1200	22.480541	0.0	560821	2217	1.2	1.3862943611198906	3.0
1698701185.4920092	1200	23.905281	0.0	607410	2419	1.2	1.3862943611198906	3.0
1698701188.0339813	1200	25.363485999999998	0.0	594078	2364	1.2	1.3862943611198906	3.0
1698701190.6767216	1200	26.719858	0.0	624282	2489	1.2	1.3862943611198906	3.0
1698701199.3352995	1200	22.061692	0.0	687371	8512	1.2	1.3862943611198906	3.0
1698701203.1335175	1200	22.264801999999996	0.0	526950	3608	1.2	1.3862943611198906	3.0
1698701205.658807	1200	23.737246999999996	0.0	587876	2356	1.2	1.3862943611198906	3.0
1698701208.2536871	1200	25.143178999999996	0.0	617242	2429	1.2	1.3862943611198906	3.0
1698701210.7209914	1200	26.676406	0.0	581493	2290	1.2	1.3862943611198906	3.0
1698701213.408631	1200	27.988396	0.0	639204	2517	1.2	1.3862943611198906	3.0
1698701215.883942	1200	29.514019999999995	0.0	586839	2305	1.2	1.3862943611198906	3.0
1698701218.4421778	1200	30.955568	0.0	601738	2393	1.2	1.3862943611198906	3.0
1698701221.0658345	1200	32.331815999999996	0.0	616206	2457	1.2	1.3862943611198906	3.0
1698701223.852734	1200	33.544291	0.0	656471	2612	1.2	1.3862943611198906	3.0
1698701229.363157	2850	32.040701	0.0	1323990	5227	1.2000000000000002	1.3862943611198906	3.0
1698701235.0444305	2850	30.346874999999997	0.0	1383735	5510	2.85	2.2512917986064953	15.0
1698701241.1092331	2850	28.288746000000003	0.0	1480464	5878	2.85	2.2512917986064953	15.0
1698701254.8968096	2850	18.508809	0.0	1547572	13603	2.85	2.2512917986064953	15.0
1698701256.9775999	1200	20.420121999999992	0.0	487160	1914	-0.44999999999999996	0.5212969236332858	-9.0
1698701259.603497	1200	21.791016	0.0	622896	2458	1.2	1.3862943611198906	3.0
1698701262.3185918	1200	23.078521999999992	0.0	641447	2553	1.2	1.3862943611198906	3.0
1698701264.7490857	1200	24.648972999999998	0.0	570392	2255	1.2	1.3862943611198906	3.0
1698701267.3703372	1200	26.02594900000001	0.0	620283	2448	1.2	1.3862943611198906	3.0
1698701272.964931	2850	24.444190000000006	0.0	1358081	5408	1.2000000000000002	1.3862943611198906	3.0
1698701279.473232	2850	21.93350500000001	0.0	1587293	6333	2.85	2.2512917986064953	15.0
1698701285.5547473	2850	19.83896400000002	0.0	1492672	5920	2.85	2.2512917986064953	15.0
1698701291.4231114	2850	17.974624000000006	0.0	1439896	5719	2.85	2.2512917986064953	15.0
1698701303.5359461	2850	9.860890000000012	0.0	1139291	11978	2.85	2.2512917986064953	15.0
1698701305.9766474	1200	11.419815	0.0	575591	2273	-0.44999999999999996	0.5212969236332858	-9.0
1698701308.5331292	1200	12.864325000000008	0.0	605884	2407	1.2	1.3862943611198906	3.0
1698701311.0318058	1200	14.366829000000024	0.0	587506	2324	1.2	1.3862943611198906	3.0
1698701313.4386559	1200	15.958266000000009	0.0	566904	2251	1.2	1.3862943611198906	3.0
1698701319.626303	2850	13.766329000000013	0.0	1527299	6036	1.2000000000000002	1.3862943611198906	3.0
1698701325.1184382	2850	12.28767000000002	0.0	1343002	5310	2.85	2.2512917986064953	15.0
1698701331.5630412	2850	9.828060000000022	0.0	1587250	6291	2.85	2.2512917986064953	15.0
1698701337.5474122	2850	7.844898000000001	0.0	1464921	5820	2.85	2.2512917986064953	15.0
1698701349.281648	2850	4.327057000000025	4.196	1483527	11540	-15.1928	-15.791508201393505	-18.567999999999998
1698701353.2585306	1200	4.333556000000016	0.0	538612	3796	-0.44999999999999996	0.5212969236332858	-9.0
1698701353.8955808	300	7.698861000000022	0.0	118421	471	-0.6000000000000001	-1.3862943611198906	-1.0
1698701355.6005795	1200	7.673256999999978	0.0	391450	1530	0.29999999999999993	0.0	1.0
