time	bit_rate	buffer_occupancies	rebuffer_times	video_chunk_size	video_chunk_fetch_time	linear_reward	log_reward	hd_reward
1698701165.3106754	750	4	1.879	450283	1794	-8.079699999999999	-inf	-15.032
1698701168.0029724	1200	5.344860000000001	0.0	611087	2425	0.75	0.9162907318741551	2.0
1698701171.7343612	1850	5.61297	0.0	877771	3485	1.2000000000000002	1.3862943611198906	3.0
1698701175.5867364	1850	5.760899999999998	0.0	933276	3690	1.85	1.8191584434161694	12.0
1698701179.68421	1850	5.661604999999998	0.0	996749	3954	1.85	1.8191584434161694	12.0
1698701183.0166488	1850	6.330788999999999	0.0	801058	3166	1.85	1.8191584434161694	12.0
1698701186.7349927	1850	6.6120189999999965	0.0	905515	3561	1.85	1.8191584434161694	12.0
1698701191.1142652	1850	6.231468	0.0	1060487	4228	1.85	1.8191584434161694	12.0
1698701202.1047373	1850	4.287101999999997	5.046	852833	10844	-19.8478	-19.87864155658383	-28.368000000000002
1698701202.9009013	300	7.495773	0.0	139105	551	-1.25	-1.8191584434161694	-10.0
1698701205.479935	1200	8.914364999999997	0.0	607410	2409	0.29999999999999993	0.0	1.0
1698701209.2890716	1850	9.104250999999998	0.0	917428	3645	1.2000000000000002	1.3862943611198906	3.0
1698701213.2228513	1850	9.169483	0.0	946851	3768	1.85	1.8191584434161694	12.0
1698701217.5170145	1850	8.875253999999998	0.0	1036454	4124	1.85	1.8191584434161694	12.0
1698701220.9560301	1850	9.436270999999998	0.0	821631	3262	1.85	1.8191584434161694	12.0
1698701224.8092117	1850	9.584292999999995	0.0	923170	3682	1.85	1.8191584434161694	12.0
1698701228.763107	1850	9.628605999999998	0.0	966699	3789	1.85	1.8191584434161694	12.0
1698701232.4557595	1850	9.936281999999999	0.0	885714	3521	1.85	1.8191584434161694	12.0
1698701236.5376148	1850	9.864964999999998	0.0	987708	3894	1.85	1.8191584434161694	12.0
1698701240.394092	1850	10.007386999999994	0.0	923755	3670	1.85	1.8191584434161694	12.0
1698701251.5925221	1850	4.476405999999997	1.677	891604	11027	-5.361099999999999	-5.39194155658383	-1.4160000000000004
1698701252.3787818	300	7.6942339999999945	0.0	157812	617	-1.25	-1.8191584434161694	-10.0
1698701255.159324	1200	8.912240999999995	0.0	656471	2609	0.29999999999999993	0.0	1.0
1698701258.8177807	1850	9.251858999999996	0.0	874175	3489	1.2000000000000002	1.3862943611198906	3.0
1698701262.5763123	1850	9.492921999999993	0.0	897976	3582	1.85	1.8191584434161694	12.0
1698701266.3648462	1850	9.704837999999995	0.0	905935	3624	1.85	1.8191584434161694	12.0
1698701270.798215	1850	9.270178999999999	0.0	1076599	4263	1.85	1.8191584434161694	12.0
1698701273.9786503	1850	10.090428000000003	0.0	758197	3010	1.85	1.8191584434161694	12.0
1698701278.0219505	1850	10.063271	0.0	972798	3858	1.85	1.8191584434161694	12.0
1698701282.061342	1850	10.008619999999993	0.0	975811	3884	1.85	1.8191584434161694	12.0
1698701285.6587515	1850	10.412700000000001	0.0	873429	3453	1.85	1.8191584434161694	12.0
1698701289.597101	1850	10.473627000000008	0.0	954453	3780	1.85	1.8191584434161694	12.0
1698701298.2790067	1850	5.806879000000009	0.0	885062	8502	1.85	1.8191584434161694	12.0
1698701300.994563	300	7.085076000000015	0.0	163444	2532	-1.25	-1.8191584434161694	-10.0
1698701302.1767976	300	9.897434000000004	0.0	179328	997	0.3	0.0	1.0
1698701303.7883174	750	12.284905000000009	0.0	365161	1451	0.3	0.0	1.0
1698701306.8329852	1850	13.237520000000018	0.0	728962	2888	0.75	0.9162907318741551	2.0
1698701310.6783214	1850	13.390837000000005	0.0	938587	3704	1.85	1.8191584434161694	12.0
1698701314.4577682	1850	13.612488000000013	0.0	908665	3620	1.85	1.8191584434161694	12.0
1698701318.289789	1850	13.779739000000006	0.0	930577	3689	1.85	1.8191584434161694	12.0
1698701321.8792248	1850	14.190615000000008	0.0	858450	3424	1.85	1.8191584434161694	12.0
1698701326.0890386	1850	13.99221	0.0	1025005	4033	1.85	1.8191584434161694	12.0
1698701329.7563167	1850	14.313775000000021	0.0	886255	3513	1.85	1.8191584434161694	12.0
1698701333.7997193	1850	14.269428000000005	0.0	973972	3877	1.85	1.8191584434161694	12.0
1698701337.782493	1850	14.286317000000025	0.0	958994	3826	1.85	1.8191584434161694	12.0
1698701342.642914	1850	13.442185000000023	0.0	982064	4676	1.85	1.8191584434161694	12.0
1698701352.638011	1850	7.432512000000003	0.0	830730	9823	1.85	1.8191584434161694	12.0
1698701353.2585309	300	10.815332000000012	0.0	118421	461	-1.25	-1.8191584434161694	-10.0
1698701355.7958164	1850	9.955718999999988	0.0	598850	2371	0.30000000000000004	0.0	1.0
